FID,Date Time,Organisation,Fleet,Working Hours Age,Number of Flights
1,29/12/2015 15:45,Flight Data Services Inc,AJT-B767,9,3
2,29/12/2015 15:45,Flight Data Services Inc,AJT-B767,10,2
3,29/12/2015 15:45,Flight Data Services Inc,MTN-ATR-42,3,2
4,29/12/2015 15:45,Flight Data Services Inc,CFS-ATR-42,2,4
5,29/12/2015 15:45,Flight Data Services Inc,CFS-ATR-72,2,5
6,29/12/2015 15:45,Flight Data Services Inc,ABX-B767,1,9
7,29/12/2015 15:45,Flight Data Services Inc,CFS-ATR-72,13,12
8,29/12/2015 15:45,Flight Data Services Inc,CNP-B737-NG,1,2
9,29/12/2015 15:45,Flight Data Services Inc,MTN-ATR-42,1,8
10,29/12/2015 15:45,Flight Data Services Inc,MTN-ATR-72,1,8
11,29/12/2015 15:45,Flight Data Services Ltd,IAW-B737,4,59
12,29/12/2015 15:45,Flight Data Services Ltd,IAW-B737,3,171
13,29/12/2015 15:45,Flight Data Services Ltd,IAW-B737,2,221
14,29/12/2015 15:45,Flight Data Services Ltd,AHY-B767,1,1
15,29/12/2015 15:45,Flight Data Services Ltd,DHX-B767,1,63
16,29/12/2015 15:45,Flight Data Services Ltd,EIN-A320,1,5
17,29/12/2015 15:45,Flight Data Services Ltd,EIN-A330,1,1
18,29/12/2015 15:45,Flight Data Services Ltd,IAW-B737,1,45
19,29/12/2015 15:45,Flight Data Services Ltd,NAS-B787,1,2
20,29/12/2015 15:45,Flight Data Services Ltd,SAS-A330,1,1
21,29/12/2015 15:45,Flight Data Services Ltd,SAS-A340,1,1
22,29/12/2015 15:45,Flight Data Services Ltd,UBA-ATR-72,1,14
23,29/12/2015 15:45,Flight Data Services Ltd,UBA-B737-NG,1,12
24,29/12/2015 15:45,Flight Data Services Ltd,UBA-ERJ-190,1,14
25,29/12/2015 16:00,Flight Data Services Inc,AJT-B767,9,1
26,29/12/2015 16:00,Flight Data Services Inc,MTN-ATR-42,4,2
27,29/12/2015 16:00,Flight Data Services Inc,CFS-ATR-42,2,4
28,29/12/2015 16:00,Flight Data Services Inc,CFS-ATR-72,2,5
29,29/12/2015 16:00,Flight Data Services Inc,ABX-B767,1,11
30,29/12/2015 16:00,Flight Data Services Inc,CFS-ATR-72,1,15
31,29/12/2015 16:00,Flight Data Services Inc,CNP-B737-NG,1,2
32,29/12/2015 16:00,Flight Data Services Inc,MTN-ATR-42,1,8
33,29/12/2015 16:00,Flight Data Services Inc,MTN-ATR-72,1,13
34,29/12/2015 16:00,Flight Data Services Ltd,IAW-B737,4,85
35,29/12/2015 16:00,Flight Data Services Ltd,IAW-B737,3,192
36,29/12/2015 16:00,Flight Data Services Ltd,AHY-B767,2,1
37,29/12/2015 16:00,Flight Data Services Ltd,EIN-A320,2,4
38,29/12/2015 16:00,Flight Data Services Ltd,EIN-A330,2,1
39,29/12/2015 16:00,Flight Data Services Ltd,IAW-B737,2,197
40,29/12/2015 16:00,Flight Data Services Ltd,UBA-ATR-72,2,10
41,29/12/2015 16:00,Flight Data Services Ltd,UBA-ERJ-190,2,14
42,29/12/2015 16:00,Flight Data Services Ltd,DHX-B767,1,68
43,29/12/2015 16:00,Flight Data Services Ltd,EIN-A320,1,3
44,29/12/2015 16:00,Flight Data Services Ltd,IAW-B737,1,28
45,29/12/2015 16:00,Flight Data Services Ltd,JTG-B737-Classic,1,1
46,29/12/2015 16:00,Flight Data Services Ltd,NAS-B737-NG,1,4
47,29/12/2015 16:00,Flight Data Services Ltd,NAS-B787,1,3
48,29/12/2015 16:00,Flight Data Services Ltd,SAS-A330,1,1
49,29/12/2015 16:00,Flight Data Services Ltd,SAS-A340,1,1
50,29/12/2015 16:00,Flight Data Services Ltd,UBA-ATR-72,1,4
51,29/12/2015 16:00,Flight Data Services Ltd,UBA-B737-NG,1,12
52,29/12/2015 16:15,Flight Data Services Inc,MTN-ATR-42,4,2
53,29/12/2015 16:15,Flight Data Services Inc,ABX-B767,2,6
54,29/12/2015 16:15,Flight Data Services Inc,CFS-ATR-42,2,2
55,29/12/2015 16:15,Flight Data Services Inc,CFS-ATR-72,2,7
56,29/12/2015 16:15,Flight Data Services Inc,CNP-B737-NG,2,2
57,29/12/2015 16:15,Flight Data Services Inc,ABX-B767,1,5
58,29/12/2015 16:15,Flight Data Services Inc,CFS-ATR-72,1,13
59,29/12/2015 16:15,Flight Data Services Inc,MTN-ATR-42,1,8
60,29/12/2015 16:15,Flight Data Services Inc,MTN-ATR-72,1,12
61,29/12/2015 16:15,Flight Data Services Ltd,IAW-B737,4,84
62,29/12/2015 16:15,Flight Data Services Ltd,IAW-B737,3,192
63,29/12/2015 16:15,Flight Data Services Ltd,AHY-B767,2,1
64,29/12/2015 16:15,Flight Data Services Ltd,EIN-A320,2,4
65,29/12/2015 16:15,Flight Data Services Ltd,EIN-A330,2,1
66,29/12/2015 16:15,Flight Data Services Ltd,IAW-B737,2,190
67,29/12/2015 16:15,Flight Data Services Ltd,UBA-ATR-72,2,10
68,29/12/2015 16:15,Flight Data Services Ltd,UBA-ERJ-190,2,14
69,29/12/2015 16:15,Flight Data Services Ltd,DHX-B767,1,68
70,29/12/2015 16:15,Flight Data Services Ltd,EIN-A320,1,3
71,29/12/2015 16:15,Flight Data Services Ltd,IAW-B737,1,28
72,29/12/2015 16:15,Flight Data Services Ltd,JTG-B737-Classic,1,1
73,29/12/2015 16:15,Flight Data Services Ltd,NAS-B737-NG,1,4
74,29/12/2015 16:15,Flight Data Services Ltd,NAS-B787,1,3
75,29/12/2015 16:15,Flight Data Services Ltd,SAS-A330,1,1
76,29/12/2015 16:15,Flight Data Services Ltd,SAS-A340,1,1
77,29/12/2015 16:15,Flight Data Services Ltd,UBA-ATR-72,1,4
78,29/12/2015 16:15,Flight Data Services Ltd,UBA-B737-NG,1,6
79,29/12/2015 16:30,Flight Data Services Inc,MTN-ATR-42,4,1
80,29/12/2015 16:30,Flight Data Services Inc,CFS-ATR-42,3,2
81,29/12/2015 16:30,Flight Data Services Inc,CFS-ATR-72,3,5
82,29/12/2015 16:30,Flight Data Services Inc,ABX-B767,2,9
83,29/12/2015 16:30,Flight Data Services Inc,CFS-ATR-72,2,9
84,29/12/2015 16:30,Flight Data Services Inc,CNP-B737-NG,2,2
85,29/12/2015 16:30,Flight Data Services Inc,MTN-ATR-42,2,5
86,29/12/2015 16:30,Flight Data Services Inc,MTN-ATR-72,2,5
87,29/12/2015 16:30,Flight Data Services Inc,ABX-B767,1,2
88,29/12/2015 16:30,Flight Data Services Inc,CFS-ATR-72,1,6
89,29/12/2015 16:30,Flight Data Services Inc,MTN-ATR-42,1,2
90,29/12/2015 16:30,Flight Data Services Inc,MTN-ATR-72,1,7
91,29/12/2015 16:30,Flight Data Services Ltd,IAW-B737,4,84
92,29/12/2015 16:30,Flight Data Services Ltd,IAW-B737,3,192
93,29/12/2015 16:30,Flight Data Services Ltd,AHY-B767,2,1
94,29/12/2015 16:30,Flight Data Services Ltd,EIN-A320,2,4
95,29/12/2015 16:30,Flight Data Services Ltd,EIN-A330,2,1
96,29/12/2015 16:30,Flight Data Services Ltd,IAW-B737,2,189
97,29/12/2015 16:30,Flight Data Services Ltd,UBA-ATR-72,2,10
98,29/12/2015 16:30,Flight Data Services Ltd,UBA-ERJ-190,2,14
99,29/12/2015 16:30,Flight Data Services Ltd,DHX-B767,1,68
100,29/12/2015 16:30,Flight Data Services Ltd,EIN-A320,1,3
101,29/12/2015 16:30,Flight Data Services Ltd,IAW-B737,1,28
102,29/12/2015 16:30,Flight Data Services Ltd,JTG-B737-Classic,1,1
103,29/12/2015 16:30,Flight Data Services Ltd,NAS-B737-NG,1,4
104,29/12/2015 16:30,Flight Data Services Ltd,NAS-B787,1,3
105,29/12/2015 16:30,Flight Data Services Ltd,SAS-A330,1,1
106,29/12/2015 16:30,Flight Data Services Ltd,SAS-A340,1,1
107,29/12/2015 16:30,Flight Data Services Ltd,UBA-ATR-72,1,4
108,29/12/2015 16:30,Flight Data Services Ltd,UBA-B737-NG,1,5
109,29/12/2015 16:45,Flight Data Services Inc,MTN-ATR-42,4,1
110,29/12/2015 16:45,Flight Data Services Inc,CFS-ATR-42,3,2
111,29/12/2015 16:45,Flight Data Services Inc,CFS-ATR-72,3,5
112,29/12/2015 16:45,Flight Data Services Inc,ABX-B767,2,9
113,29/12/2015 16:45,Flight Data Services Inc,CFS-ATR-72,2,12
114,29/12/2015 16:45,Flight Data Services Inc,CNP-B737-NG,2,2
